urn:cts:greekLit:tlg5026.msA.hmt:1.1	1	μηνιν αειδε ζητουσι δια τι απο της μηνιδος ηρξατο ουτως δυσφημου ονοματοσ· δια δυο ταυτα· πρωτον μεν ιν' εκ του παθους απκαταρρευσῃ το τοιουτο μοριον της ψυχης και προσεκτικωτερους τους ακροατας επι του μεγεθους ποιησῃ και προσεθιζῃ φερειν γενναιως ημας τα παθη . μελλων πολλεμους απαγγελλειν· δευτερον . ινα τα εγκωμια των Ελληνων πιθανωτερα ποιησῃ· επει δε εμελλε , νικωντας αποφαινειν τους Ελληνας , εικοτως ου κατατρεχει αξιοπιστοτερον εκ του μη παντα χαριζεσθαι τῳ εκεινων επαινῳ· ηρξατο μεν απο μηνιδος επειπερ αυτη τοις πρακτικοις υποθεσις γεγονεν· αλλῳς τε και τραγῳδιαις τραγικον εξευρε προοιμιον· και γαρ προσεκτικους ημας η των ατυχηματων διηγησις εργαζεται· και ως αριστος ϊατρος , πρωτον αναστελλων τα νοσηματα της ψυχης υστερον την ϊασιν επαγει . Ελληνικον δε το προ τελει τας ηδονας επαγειν· ῾ϊστεον δε , ωσπερ επι συκης πρωτον μεν εστιν ολυνθος ειτα φιλιξ συκον ϊσχας . ουτω πρωτον· οργη · θυμος · χολος · κοτος · μηνις · ομως ο ποιητης ως συνωνυμοις ονομασιν επι Αχιλλεως χρηται ηε χολον παυσειεν , ερητυσειε τε θυμον · ουδ' οθομαι κοτεοντος , αυταρ ο μηνιε νηυσιν ·
urn:cts:greekLit:tlg5026.msA.hmt:1.2	1	μηνις παρα το μενω μηνις ως ενος ηνις · οι δε περι Γλαυκωνα τον Ταρσεα ηξιουν οξυνειν το ονομα ουκ ορθως .
urn:cts:greekLit:tlg5026.msA.hmt:1.3	1	αειδε οτι κατα την ποιητικην ητοι αδειαν η συνηθειαν λαμβανει τα προστακτικα αντι ευκτικων· και γαρ Ησιοδος φησι· δευτε δη εννεπετε , και Πινδαρος · μαντευο Μουσα , και Αντιμαχος ο Κολοφωνιοσ. εννεπετε Κρονιανος Διος μεγαλοιο θυγατρες · δευτερον δε οτι ου κατα αληθειαν ταις Μουσαις επιτασσουσιν , αλλ' εαυτοις ⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.4	1	θεα ουτως ειωθε την Μουσαν καλειν· αμελει και εν Οδυσσεια · ⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.5	1	Πηληϊαδεω Αχιληος ουτως αναγνωστεον δια του ενος λ και δια το μετρον και δια το αχος ο εστι λυπην επενεγκειν τοις Ιλιευσιν , οι δε παρα το μη θιγειν χειλεσι θηλης ολως γαρ ου μετεσχε γαλακτος ⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.6	1	μυρια τινες θρηνητικα· παρα το μυρεσθαι και επιθετον αυτο των αλγεων ηκουσαν , εφ οις μυριασθαι και το κλαυσαι , ουδεν δε ατοπον ει παρα Μουσων ταυτα ερωτᾳ φρονησις μεν γαρ εστιν η παντ ειδησισ· προαιρεσις δε ακριβης η των αμεινονων πραξεων αιρεσις ⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.7	1	Αχαιοις Ξουθος ο Αιολου παις , αγομενος Κρεουσαν την Ερεχθεως θυγατερα εσχεν εξ αυτης δυο παιδας , ΄Ϊονα και Αχαιον · ων ο μεν ΄Ϊων ῳκησεν Αθηνας , ο δε Αχαιος φονον εμφυλιον δρασας , παρεγενετο εις Θεσσαλιαν και κυριευσας της χωρας τους υποτεταγμενους , αφ εαυτου προσηγορευσεν Αχαιους , Ελληνες δε κοινως παντες οι της Ελλαδος εκληθησαν απο Ελληνος του Διος · πρωτοι ουν ουτως ελεγοντο οι εν Θεσσαλια ανοι  και ουτοι ου παντες , αλλα μονοι οι εν Ελλαδι τῃ πο  ετειτα μεγαλα δυναστευθεντος του Ελληνος , και των τουτου παιδων απ αυτου παντες εκληθησαν Ελληνες ⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.8	1	ηρωων αυτους δε οτι Ζηνοδοτος τους δυο αθετει· γινεται δε το προοιμιον κολον και προς τας ψυχας αντιδιεσταλκεν το αυτους δε επι τινων σωματων· ηρωας δε φασι κλνθηναι . απο της αρετης , η απο του αερος . ως φησιν Ισιοδος ηερα εσσαμενοι , η απο της ερασεως τουτεστι της μιξεως των θεων· οι γαρ θεοι θνηταις γυναιξι συνερχομενοι . εποιουν γενος το των ηρωων . η απο της ερας , ερα δε η γη κατα διαλεκτον· εκ δε της γης επλασθη το γενος των ανων  ⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.9	1	Διος δ' ετελειετο βουλη τινες συν τῳ ϊ κατα δοτικην οιον τη βουλῃ του Διος ετελειουτο ⁑
urn:cts:greekLit:tlg5026.msA.hmt:1.10	1	Διος δ' ετελειετο βουλη ⁑ εξ ου δη τα πρωτα Αρισταρχος συναπτει ινα μη παρουσα τις φαινηται βουλη καθ' Ελληνων , αλλ αφ ου χρονου εγενετο η μηνις ινα μη τα παρα τοις νεωτεροις πλασματα δεξωμεθα ⁑
